m = 0.03684 + 5.56819i 
1 2 3 0 0 = columns for wave, Re(N), Im(N), eps1, eps2
   LAMBDA     Re(N)     Im(N)
  0.000001  0.03684       5.56819
  1.000000  0.03684       5.56819
  100000.0  0.03684       5.56819
